cost,Area,type,no.of bed,Bathrooms,Location
"4,150,000 AED","3,466 sqft",Apartment,4,5,"Jumeirah Living, World Trade Centre Residence, World Trade Center, Dubai"
"1,150,000 AED","1,220 sqft",Apartment,2,2,"Cascades Tower, Dubai Marina, Dubai"
"575,000 AED","1,091 sqft",Apartment,2,3,"Autumn, Seasons Community, Jumeirah Village Circle, Dubai"
"10,560,000 AED","8,079 sqft",Villa,5,7,"Redwood Avenue, Fire, Jumeirah Golf Estates, Dubai"
"1,210,000 AED",877 sqft,Apartment,1,2,"Index Tower, DIFC, Dubai"
"2,630,000 AED","2,702 sqft",Townhouse,4,5,"The Field, DAMAC Hills (Akoya by DAMAC), Dubai"
"2,200,000 AED","2,702 sqft",Villa,4,5,"The Field, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,900,000 AED","2,042 sqft",Townhouse,3,3,"Pelham, Akoya Park, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,230,000 AED",790 sqft,Apartment,1,1,"Royal Bay, Palm Jumeirah, Dubai"
"2,700,000 AED","3,042 sqft",Villa,5,6,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"1,700,000 AED","1,158 sqft",Apartment,1,2,"Anantara Residences - South, Anantara Residences, Palm Jumeirah, Dubai"
"750,000 AED","1,848 sqft",Townhouse,3,3,"Aknan Villas, Vardon, Akoya, Dubai"
"19,500,000 AED","13,870 sqft",Villa,6,7+,"Sector E, Emirates Hills, Dubai"
"32,000,000 AED","16,702 sqft",Villa,7,7+,"District One Mansions, District One, Mohammed Bin Rashid City, Dubai"
"2,949,999 AED","2,309 sqft",Apartment,3,5,"Dubai Creek Residence Tower 3 North, Dubai Creek Harbour (The Lagoons), Dubai"
"2,950,000 AED","3,130 sqft",Townhouse,4,5,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"450,000 AED",436 sqft,Apartment,Studio,1,"Ghalia, District 18, Jumeirah Village Circle, Dubai"
"1,700,000 AED","1,265 sqft",Apartment,2,2,"Boulevard Central Tower 2, Boulevard Central Towers, Downtown Dubai, Dubai"
"1,800,000 AED","2,432 sqft",Villa,3,4,"Al Khaleej Village, Al Ghadeer, Abu Dhabi"
"675,000 AED",736 sqft,Apartment,1,2,"Elite Residence, Dubai Marina, Dubai"
"2,290,000 AED","1,996 sqft",Apartment,3,4,"Tower A, DAMAC Towers by Paramount, Business Bay, Dubai"
"1,800,000 AED","1,530 sqft",Apartment,2,3,"Bahwan Tower Downtown, Downtown Dubai, Dubai"
"9,000,000 AED","3,000 sqft",Townhouse,4,5,"The 8, The Crescent, Palm Jumeirah, Dubai"
"3,200,000 AED","1,672 sqft",Apartment,2,3,"Aquamarine, Tiara Residences, Palm Jumeirah, Dubai"
"390,000 AED",605 sqft,Apartment,Studio,1,"Botanica, Jumeirah Village Circle, Dubai"
"1,000,000 AED","1,409 sqft",Apartment,2,3,"Tulip, Azizi Residence, Al Furjan, Dubai"
"545,000 AED",680 sqft,Apartment,1,2,"Dar Al Jawhara, Jumeirah Village Circle, Dubai"
"1,600,000 AED","1,168 sqft",Apartment,1,2,"Dubai Creek Residence Tower 2 North, Dubai Creek Harbour (The Lagoons), Dubai"
"11,726,888 AED","8,488 sqft",Villa,6,6,"Golf Place, Dubai Hills Estate, Dubai"
"9,500,000 AED","2,920 sqft",Apartment,4,5,"The Address The BLVD, Downtown Dubai, Dubai"
"1,350,000 AED","1,350 sqft",Apartment,2,4,"DAMAC Maison Canal Views, Business Bay, Dubai"
"1,150,000 AED","1,778 sqft",Apartment,2,2,"Sandoval Gardens, Jumeirah Village Circle, Dubai"
"1,540,000 AED",772 sqft,Apartment,1,2,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"3,750,000 AED","3,884 sqft",Villa,4,3,"Alvorada 3, Alvorada, Arabian Ranches, Dubai"
"7,000,000 AED","5,380 sqft",Villa,5,7,"HIDD Al Saadiyat, Saadiyat Island, Abu Dhabi"
"8,046,538 AED","4,349 sqft",Villa,4,6,"Hartland Garden Apartments, Sobha Hartland, Mohammed Bin Rashid City, Dubai"
"3,008,000 AED","4,114 sqft",Villa,5,7,"Nad Al Sheba 3, Nadd Al Sheba, Dubai"
"1,078,484 AED",834 sqft,Apartment,1,2,"Vincitore Palacio, Arjan, Dubai"
"39,500,000 AED","17,000 sqft",Villa,7,7+,"District One Mansions, District One, Mohammed Bin Rashid City, Dubai"
"3,499,000 AED","2,547 sqft",Apartment,4,,"Cayan Tower, Dubai Marina, Dubai"
"8,000,000 AED","10,000 sqft",Villa,4,6,"Jawaher Saadiyat, Saadiyat Island, Abu Dhabi"
"2,100,000 AED","1,975 sqft",Apartment,1,2,"Seventh Heaven, Al Barari, Dubai"
"219,999 AED",380 sqft,Apartment,Studio,1,"Lakeside Tower A, Lakeside Residence, Dubai Production City (IMPZ), Dubai"
"4,905,000 AED","1,551 sqft",Apartment,1,2,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"3,000,000 AED","1,462 sqft",Apartment,2,2,"Al Bateen Residence, The Walk, Jumeirah Beach Residence, Dubai"
"1,300,000 AED","1,550 sqft",Apartment,2,3,"Ubora Tower 1, Ubora Towers, Business Bay, Dubai"
"32,900,000 AED","15,000 sqft",Villa,6,6,"Sector W, Emirates Hills, Dubai"
"449,000 AED",778 sqft,Apartment,1,2,"The Manhattan Tower, Jumeirah Village Circle, Dubai"
"2,000,000 AED","2,689 sqft",Villa,2,2,"Arabian Villas, Jumeirah Village Triangle, Dubai"
"52,000,000 AED","19,316 sqft",Villa,7,7+,"District One Mansions, District One, Mohammed Bin Rashid City, Dubai"
"1,500,000 AED","2,294 sqft",Villa,3,4,"Casa Dora, Serena, Dubai"
"1,699,000 AED","1,890 sqft",Apartment,1,2,"Oceana Caribbean, Oceana, Palm Jumeirah, Dubai"
"5,500,000 AED","2,940 sqft",Apartment,4,5,"Boulevard Point, Downtown Dubai, Dubai"
"600,000 AED",950 sqft,Apartment,1,2,"DEC Tower 1, DEC Towers, Dubai Marina, Dubai"
"1,500,000 AED","1,794 sqft",Villa,2,3,"Springs 14, The Springs, Dubai"
"730,000 AED",990 sqft,Apartment,1,2,"Rawda Apartments, Town Square, Dubai"
"3,297,888 AED","1,539 sqft",Apartment,2,3,"Boulevard Crescent 1, BLVD Crescent, Downtown Dubai, Dubai"
"1,600,000 AED","1,700 sqft",Villa,4,4,"Akoya Selfie, Akoya, Dubai"
"17,500,000 AED","7,478 sqft",Villa,5,6,"St. Regis, Saadiyat Beach, Saadiyat Island, Abu Dhabi"
"600,000 AED",881 sqft,Apartment,1,1,"Spring Oasis, Dubai Silicon Oasis, Dubai"
"444,444 AED",581 sqft,Apartment,1,1,"Hayat Boulevard, Town Square, Dubai"
Ask for price,"16,500 sqft",Villa,6,7,"Hillside at Jumeirah Golf Estates, Jumeirah Golf Estates, Dubai"
Ask for price,"22,000 sqft",Villa,6,7+,"Sector L, Emirates Hills, Dubai"
"17,995,000 AED","10,321 sqft",Villa,6,7,"Polo Homes, Arabian Ranches, Dubai"
"790,000 AED",924 sqft,Apartment,1,2,"Marina Blue Tower, Marina Square, Al Reem Island, Abu Dhabi"
"1,850,000 AED","1,870 sqft",Apartment,2,3,"Marina Residences 6, Marina Residences, Palm Jumeirah, Dubai"
"2,400,000 AED","2,471 sqft",Townhouse,4,4,"Maple 3, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"5,100,000 AED","6,002 sqft",Villa,5,6,"Flame Tree Ridge, Fire, Jumeirah Golf Estates, Dubai"
"2,500,000 AED","2,669 sqft",Apartment,3,5,"MAG 5, Marina Square, Al Reem Island, Abu Dhabi"
"3,250,000 AED","1,270 sqft",Apartment,2,3,"The Address The BLVD, Downtown Dubai, Dubai"
"9,000,000 AED","7,856 sqft",Villa,6,7,"Building C, Al Zeina, Al Raha Beach, Abu Dhabi"
"16,500,000 AED","4,877 sqft",Penthouse,3,3,"Serenia Residences West, Serenia Residences The Palm, Palm Jumeirah, Dubai"
"5,695,000 AED","8,008 sqft",Villa,5,6,"Orange Lake, Fire, Jumeirah Golf Estates, Dubai"
"7,299,999 AED","3,782 sqft",Apartment,3,4,"Palazzo Versace, Culture Village, Dubai"
"30,000,000 AED","20,003 sqft",Villa,6,7+,"Sector R, Emirates Hills, Dubai"
"1,425,525 AED",950 sqft,Apartment,1,2,"Damac Heights, Dubai Marina, Dubai"
"4,150,000 AED","3,466 sqft",Apartment,4,5,"Jumeirah Living, World Trade Centre Residence, World Trade Center, Dubai"
"1,150,000 AED","1,220 sqft",Apartment,2,2,"Cascades Tower, Dubai Marina, Dubai"
"575,000 AED","1,091 sqft",Apartment,2,3,"Autumn, Seasons Community, Jumeirah Village Circle, Dubai"
"1,900,000 AED","2,260 sqft",Apartment,3,4,"Al Anbara, Shoreline Apartments, Palm Jumeirah, Dubai"
"1,300,000 AED",950 sqft,Apartment,1,1,"Damac Heights, Dubai Marina, Dubai"
"1,550,000 AED","1,400 sqft",Apartment,3,4,"Meera 1, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"700,000 AED",647 sqft,Apartment,1,1,"The Bridges, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"820,000 AED","1,258 sqft",Apartment,2,2,"The Torch, Dubai Marina, Dubai"
"1,696,000 AED","2,333 sqft",Villa,4,4,"La Rosa, Villanova, Dubai Land, Dubai"
"1,400,000 AED",864 sqft,Apartment,1,2,"Noora, Al Habtoor City, Business Bay, Dubai"
"990,000 AED",987 sqft,Apartment,1,2,"Dubai Wharf, Culture Village, Dubai"
"925,000 AED",863 sqft,Apartment,1,1,"Golf Tower 2, Golf Towers, The Views, Dubai"
"3,500,000 AED","5,700 sqft",Villa,5,6,"The Aldea, The Villa, Dubai"
"1,300,000 AED","2,295 sqft",Villa,3,4,"Mira Oasis 1, Mira Oasis, Reem, Dubai"
"10,000,000 AED","3,399 sqft",Apartment,4,5,"The Address Residence Fountain Views Sky Collection 3, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"11,500,000 AED","8,800 sqft",Villa,5,7,"District One Villas, District One, Mohammed Bin Rashid City, Dubai"
"2,480,000 AED","3,971 sqft",Villa,4,4,"Maple 3, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"13,000,000 AED","9,138 sqft",Villa,6,7+,"HIDD Al Saadiyat, Saadiyat Island, Abu Dhabi"
"1,500,000 AED","2,820 sqft",Villa,3,3,"Mira Oasis 3, Mira Oasis, Reem, Dubai"
"2,879,888 AED","2,387 sqft",Townhouse,4,5,"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"803,000 AED","1,169 sqft",Apartment,2,2,"Farishta, Azizi Residence, Al Furjan, Dubai"
Ask for price,"10,805 sqft",Penthouse,5,6,"Volante, Business Bay, Dubai"
"920,000 AED","1,024 sqft",Apartment,2,3,"Rawda Apartments, Town Square, Dubai"
"730,000 AED",807 sqft,Apartment,1,1,"Marina Blue Tower, Marina Square, Al Reem Island, Abu Dhabi"
"3,000,000 AED","1,783 sqft",Duplex,2,2,"Central Park Residential Tower, Central Park Tower, DIFC, Dubai"
"4,900,000 AED","5,308 sqft",Villa,5,4,"Saheel 1, Saheel, Arabian Ranches, Dubai"
"1,380,000 AED","2,063 sqft",Apartment,2,3,"Madina Tower, Lake Elucio, Jumeirah Lake Towers, Dubai"
"599,000 AED",599 sqft,Apartment,Studio,1,"Park View, Saadiyat Island, Abu Dhabi"
"850,000 AED","1,739 sqft",Apartment,2,3,"DEC Tower 1, DEC Towers, Dubai Marina, Dubai"
"1,555,000 AED","2,042 sqft",Townhouse,3,4,"Topanga, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,198,000 AED","2,005 sqft",Apartment,2,3,"Golf Vista 1, Golf Vista, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,123,000 AED",940 sqft,Apartment,1,1,"Tower B, DAMAC Towers by Paramount, Business Bay, Dubai"
"4,200,000 AED","2,802 sqft",Apartment,3,5,"Damac Maison The Distinction, Downtown Dubai, Dubai"
"1,075,000 AED","1,513 sqft",Townhouse,2,3,"Casa Dora, Serena, Dubai"
"2,800,000 AED","3,225 sqft",Villa,4,5,"Samara, Arabian Ranches 2, Dubai"
"1,225,000 AED","1,035 sqft",Apartment,1,1,"Building A, Al Zeina, Al Raha Beach, Abu Dhabi"
"4,500,000 AED","4,367 sqft",Villa,4,4,"Bungalow Area, Green Community Motor City, Motor City, Dubai"
"4,100,000 AED","5,382 sqft",Villa,5,5,"Family Villa Area, Green Community East, Green Community, Dubai"
"1,525,000 AED","2,299 sqft",Townhouse,3,4,"Arabella Townhouses 2, Arabella Townhouses, Mudon, Dubai"
"1,795,000 AED","1,550 sqft",Apartment,2,3,"South Ridge 4, South Ridge, Downtown Dubai, Dubai"
"4,550,000 AED","4,750 sqft",Villa,4,5,"West Yas, Yas Island, Abu Dhabi"
Ask for price,"5,500 sqft",Villa,4,6,"Garden Homes Frond F, Garden Homes, Palm Jumeirah, Dubai"
"930,000 AED","1,070 sqft",Apartment,2,2,"The Dania District 2, Midtown, Dubai Production City (IMPZ), Dubai"
"1,580,000 AED","1,665 sqft",Apartment,3,2,"The Views 2, The Views, Dubai"
"3,250,000 AED","2,700 sqft",Villa,4,3,"Springs 1, The Springs, Dubai"
"550,000 AED",635 sqft,Apartment,Studio,1,"Golf Veduta Hotel Apartments, DAMAC Hills (Akoya by DAMAC), Dubai"
Ask for price,"20,600 sqft",Villa,6,6,"Sector E, Emirates Hills, Dubai"
"1,750,000 AED","1,518 sqft",Apartment,2,4,"Al Hadeel, Al Bandar, Al Raha Beach, Abu Dhabi"
"1,950,000 AED","2,943 sqft",Villa,3,5,"Pelham, Akoya Park, DAMAC Hills (Akoya by DAMAC), Dubai"
"3,250,000 AED","1,672 sqft",Apartment,3,4,"Jumeirah Living, World Trade Centre Residence, World Trade Center, Dubai"
"3,999,900 AED","5,500 sqft",Villa,5,7,"Hacienda, The Villa, Dubai"
"6,495,000 AED","2,611 sqft",Villa,3,3,"Montgomerie Maisonettes, Emirates Hills Villas, Emirates Hills, Dubai"
"5,000,000 AED","4,213 sqft",Townhouse,3,4,"Saadiyat Beach Villas, Saadiyat Beach, Saadiyat Island, Abu Dhabi"
"4,795,000 AED","6,761 sqft",Villa,5,6,"Orange Lake, Fire, Jumeirah Golf Estates, Dubai"
"2,800,000 AED","4,600 sqft",Villa,4,5,"Hyati Residences, Jumeirah Village Circle, Dubai"
"670,000 AED","1,003 sqft",Apartment,2,3,"Zahra Apartments 2A, Zahra Apartments, Town Square, Dubai"
"2,225,000 AED","2,650 sqft",Townhouse,4,3,"Reem Community, Arabian Ranches 2, Dubai"
"2,300,000 AED","1,649 sqft",Apartment,2,2,"Vida Residence 2, Vida Residence, The Hills, Dubai"
"1,650,000 AED","1,991 sqft",Townhouse,3,3,"Arabella Townhouses 2, Arabella Townhouses, Mudon, Dubai"
"2,358,000 AED","3,814 sqft",Villa,4,6,"Nad Al Sheba 3, Nadd Al Sheba, Dubai"
"1,380,000 AED","2,063 sqft",Apartment,2,3,"Madina Tower, Lake Elucio, Jumeirah Lake Towers, Dubai"
"2,780,000 AED","3,815 sqft",Villa,4,5,"Nad Al Sheba 3, Nadd Al Sheba, Dubai"
"2,480,000 AED","3,971 sqft",Villa,4,4,"Maple 3, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"5,000,000 AED","4,074 sqft",Villa,3,5,"Saadiyat Beach Villas, Saadiyat Beach, Saadiyat Island, Abu Dhabi"
"5,500,000 AED","7,410 sqft",Villa,5,6,"DAMAC Villas by Paramount Hotels and Resorts, DAMAC Hills (Akoya by DAMAC), Dubai"
Ask for price,"10,805 sqft",Penthouse,5,6,"Volante, Business Bay, Dubai"
"920,000 AED","1,024 sqft",Apartment,2,3,"Rawda Apartments, Town Square, Dubai"
"2,879,888 AED","2,387 sqft",Townhouse,4,5,"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"1,950,000 AED","2,943 sqft",Villa,3,5,"Pelham, Akoya Park, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,300,000 AED","2,295 sqft",Villa,3,4,"Mira Oasis 1, Mira Oasis, Reem, Dubai"
"925,000 AED",863 sqft,Apartment,1,1,"Golf Tower 2, Golf Towers, The Views, Dubai"
"3,500,000 AED","5,700 sqft",Villa,5,6,"The Aldea, The Villa, Dubai"
"1,400,000 AED",864 sqft,Apartment,1,2,"Noora, Al Habtoor City, Business Bay, Dubai"
"13,000,000 AED","9,138 sqft",Villa,6,7+,"HIDD Al Saadiyat, Saadiyat Island, Abu Dhabi"
"11,500,000 AED","8,800 sqft",Villa,5,7,"District One Villas, District One, Mohammed Bin Rashid City, Dubai"
"1,500,000 AED","2,820 sqft",Villa,3,3,"Mira Oasis 3, Mira Oasis, Reem, Dubai"
"10,000,000 AED","3,399 sqft",Apartment,4,5,"The Address Residence Fountain Views Sky Collection 3, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"1,700,000 AED","1,800 sqft",Apartment,2,3,"Marinascape Avant, Marinascape, Dubai Marina, Dubai"
"1,100,000 AED","1,505 sqft",Apartment,2,3,"Al Fahad Tower 2, Al Fahad Towers, Barsha Heights (Tecom), Dubai"
"1,349,000 AED","1,583 sqft",Apartment,2,4,"Abu Keibal, Shoreline Apartments, Palm Jumeirah, Dubai"
"420,000 AED",428 sqft,Apartment,Studio,1,"Capital Bay Tower B, Capital Bay, Business Bay, Dubai"
"3,000,000 AED","3,527 sqft",Villa,3,4,"Legacy, Jumeirah Park, Dubai"
"1,335,000 AED",783 sqft,Apartment,1,1,"Lamtara, Madinat Jumeirah Living, Umm Suqeim, Dubai"
"4,700,000 AED","6,200 sqft",Villa,5,5,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai"
"2,800,000 AED","4,600 sqft",Villa,4,5,"Hyati Residences, Jumeirah Village Circle, Dubai"
"1,940,000 AED","1,794 sqft",Apartment,3,4,"Parkside Residence, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"790,000 AED",826 sqft,Apartment,1,2,"Parkside Residence, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"3,500,000 AED","2,300 sqft",Apartment,3,4,"BLVD Heights Tower 1, BLVD Heights, Downtown Dubai, Dubai"
"3,399,000 AED","1,700 sqft",Apartment,2,3,"The Address Sky View Tower 2, The Address Sky View Towers, Downtown Dubai, Dubai"
"655,000 AED",853 sqft,Apartment,2,2,"Green Diamond 1, Green Diamond, Arjan, Dubai"
"20,000,000 AED","24,400 sqft",Villa,5,6,"Saadiyat Beach Villas, Saadiyat Beach, Saadiyat Island, Abu Dhabi"
"800,000 AED","1,100 sqft",Apartment,3,2,"Green Diamond 1, Green Diamond, Arjan, Dubai"
"670,000 AED","1,003 sqft",Apartment,2,3,"Zahra Apartments 2A, Zahra Apartments, Town Square, Dubai"
"2,225,000 AED","2,650 sqft",Townhouse,4,3,"Reem Community, Arabian Ranches 2, Dubai"
"2,300,000 AED","1,649 sqft",Apartment,2,2,"Vida Residence 2, Vida Residence, The Hills, Dubai"
"1,650,000 AED","1,991 sqft",Townhouse,3,3,"Arabella Townhouses 2, Arabella Townhouses, Mudon, Dubai"
"1,000,000 AED",850 sqft,Apartment,1,2,"The Fairways East, The Fairways, The Views, Dubai"
"550,000 AED",491 sqft,Apartment,Studio,1,"Damac Maison Cour Jardin, Business Bay, Dubai"
"3,043,650 AED","2,128 sqft",Apartment,3,4,"Mayan 1, Mayan, Yas Island, Abu Dhabi"
"4,950,000 AED","2,106 sqft",Apartment,3,5,"Burj Vista 1, Burj Vista, Downtown Dubai, Dubai"
"450,000 AED","1,001 sqft",Apartment,1,2,"Dana Tower, Jumeirah Village Circle, Dubai"
"1,899,999 AED","1,774 sqft",Apartment,3,4,"Sun Tower, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,198,000 AED","2,005 sqft",Apartment,2,3,"Golf Vista 1, Golf Vista, DAMAC Hills (Akoya by DAMAC), Dubai"
"550,000 AED",672 sqft,Apartment,1,1,"Global Lake View, Lake Almas East, Jumeirah Lake Towers, Dubai"
"1,550,000 AED",927 sqft,Apartment,1,2,"The Address Downtown Hotel, Downtown Dubai, Dubai"
"3,150,000 AED",880 sqft,Apartment,1,2,"The Address Downtown Hotel, Downtown Dubai, Dubai"
"1,399,000 AED","1,335 sqft",Apartment,2,3,"The Lofts East, The Lofts, Downtown Dubai, Dubai"
"17,500,000 AED","16,727 sqft",Villa,6,7,"Sector H, Emirates Hills, Dubai"
"1,250,000 AED","1,534 sqft",Apartment,2,3,"The Polo Residence, Meydan Avenue, Meydan, Dubai"
"420,000 AED",816 sqft,Apartment,1,1,"Diamond Views 2, Diamond Views, Jumeirah Village Circle, Dubai"
"380,000 AED",865 sqft,Apartment,1,2,"Mazaya 4, Queue Point, Dubai Land, Dubai"
"5,799,999 AED","8,400 sqft",Villa,6,6,"Ponderosa, The Villa, Dubai"
"870,000 AED","1,190 sqft",Apartment,2,3,"Marina Bay by DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,350,000 AED","1,741 sqft",Apartment,2,3,"MAG 218, Dubai Marina, Dubai"
"2,650,000 AED","1,449 sqft",Apartment,2,3,"The Address The BLVD, Downtown Dubai, Dubai"
"1,150,000 AED","1,950 sqft",Apartment,3,4,"Lake Point Tower, Lake Almas West, Jumeirah Lake Towers, Dubai"
"627,500 AED",776 sqft,Apartment,1,2,"Al Andalus, Jumeirah Golf Estates, Dubai"
"3,299,950 AED","3,630 sqft",Townhouse,4,5,"Jumeirah Islands Townhouses, Jumeirah Islands, Dubai"
"1,075,000 AED","2,583 sqft",Villa,1,1,"District 3B, Jumeirah Village Triangle, Dubai"
"315,000 AED",486 sqft,Apartment,Studio,1,"Elite Sports Residence 5, Elite Sports Residence, Dubai Sports City, Dubai"
"2,358,000 AED","3,814 sqft",Villa,4,6,"Nad Al Sheba 3, Nadd Al Sheba, Dubai"
"2,780,000 AED","3,815 sqft",Villa,4,5,"Nad Al Sheba 3, Nadd Al Sheba, Dubai"
"3,399,000 AED","1,700 sqft",Apartment,2,3,"The Address Sky View Tower 2, The Address Sky View Towers, Downtown Dubai, Dubai"
"655,000 AED",853 sqft,Apartment,2,2,"Green Diamond 1, Green Diamond, Arjan, Dubai"
"800,000 AED","1,100 sqft",Apartment,3,2,"Green Diamond 1, Green Diamond, Arjan, Dubai"
"1,549,999 AED","2,220 sqft",Apartment,2,4,"The Polo Residence, Meydan Avenue, Meydan, Dubai"
"24,660,000 AED","18,400 sqft",Villa,6,7+,"Hillside at Jumeirah Golf Estates, Jumeirah Golf Estates, Dubai"
"3,500,000 AED","4,800 sqft",Villa,5,7,"The Aldea, The Villa, Dubai"
"5,500,000 AED","7,410 sqft",Villa,5,6,"DAMAC Villas by Paramount Hotels and Resorts, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,095,000 AED","1,204 sqft",Apartment,2,3,"Hyati Avenue, Jumeirah Village Circle, Dubai"
"5,000,000 AED","4,074 sqft",Villa,3,5,"Saadiyat Beach Villas, Saadiyat Beach, Saadiyat Island, Abu Dhabi"
"800,000 AED",908 sqft,Apartment,1,2,"MAG 218, Dubai Marina, Dubai"
"1,899,999 AED","1,774 sqft",Apartment,3,4,"Sun Tower, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,550,000 AED",927 sqft,Apartment,1,2,"The Address Downtown Hotel, Downtown Dubai, Dubai"
"9,189,000 AED","4,557 sqft",Villa,4,5,"Nikki Beach Resort and Spa Dubai, Pearl Jumeirah, Jumeirah, Dubai"
"3,050,000 AED","1,275 sqft",Apartment,2,3,"The Address The BLVD, Downtown Dubai, Dubai"
"1,220,000 AED",637 sqft,Apartment,1,2,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"3,275,000 AED","4,185 sqft",Villa,5,6,"Picadilly Green, DAMAC Hills (Akoya by DAMAC), Dubai"
"2,700,000 AED","2,700 sqft",Villa,5,5,"Maple 2, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"1,390,000 AED",955 sqft,Apartment,1,1,"Damac Heights, Dubai Marina, Dubai"
"1,300,000 AED","2,100 sqft",Townhouse,3,3,"Casa Dora, Serena, Dubai"
"1,575,000 AED","1,966 sqft",Apartment,2,2,"Al Seef Tower 2, Al Seef  Towers, Jumeirah Lake Towers, Dubai"
"550,000 AED",780 sqft,Apartment,Studio,1,"Hydra Avenue Towers, City Of Lights, Al Reem Island, Abu Dhabi"
"2,350,000 AED","4,036 sqft",Villa,3,3,"Cedre Villas, Dubai Silicon Oasis, Dubai"
"1,300,000 AED",878 sqft,Apartment,1,1,"Burj Daman, DIFC, Dubai"
"1,595,000 AED","1,376 sqft",Apartment,2,3,"Cayan Tower, Dubai Marina, Dubai"
"6,150,000 AED","6,044 sqft",Villa,6,7,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"3,300,000 AED","1,673 sqft",Apartment,2,3,"The Address Sky View Tower 2, The Address Sky View Towers, Downtown Dubai, Dubai"
"400,000 AED",846 sqft,Apartment,1,2,"Tala 2, Queue Point, Dubai Land, Dubai"
"2,000,000 AED","2,056 sqft",Apartment,3,4,"Tala Tower, Marina Square, Al Reem Island, Abu Dhabi"
"2,250,000 AED","2,002 sqft",Apartment,2,5,"MAG 5, Marina Square, Al Reem Island, Abu Dhabi"
"1,500,000 AED","1,991 sqft",Townhouse,3,4,"Arabella Townhouses 1, Arabella Townhouses, Mudon, Dubai"
"248,000 AED",500 sqft,Apartment,Studio,1,"Lago Vista A, Lago Vista, Dubai Production City (IMPZ), Dubai"
"3,988,000 AED","5,261 sqft",Villa,5,5,"Rahat, Mudon, Dubai"
"1,650,000 AED","1,326 sqft",Apartment,2,3,"Iris Blue, Dubai Marina, Dubai"
"1,785,000 AED","2,800 sqft",Apartment,3,4,"Cluster C, Jumeirah Heights, Dubai"
Ask for price,"6,348 sqft",Townhouse,4,4,"Al Muneera Townhouses-Island, Al Muneera, Al Raha Beach, Abu Dhabi"
"4,800,000 AED","4,936 sqft",Villa,4,5,"West Yas, Yas Island, Abu Dhabi"
"475,000 AED",843 sqft,Apartment,1,2,"Axis silver 1, Dubai Silicon Oasis, Dubai"
"80,000,000 AED","33,807 sqft",Villa,7+,7+,"District One Mansions, District One, Mohammed Bin Rashid City, Dubai"
"850,000 AED","1,739 sqft",Apartment,2,3,"DEC Tower 1, DEC Towers, Dubai Marina, Dubai"
"2,800,000 AED","1,452 sqft",Apartment,2,3,"The Address Residence Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"620,000 AED",674 sqft,Apartment,1,1,"Oceanscape, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"2,800,000 AED","2,067 sqft",Apartment,3,4,"Burj Daman, DIFC, Dubai"
"399,000 AED",400 sqft,Apartment,Studio,1,"MILANO by Giovanni Botique Suites, Jumeirah Village Circle, Dubai"
"1,574,950 AED",755 sqft,Apartment,1,2,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"730,000 AED","1,087 sqft",Apartment,2,3,"Golf View Residence, Dubai Sports City, Dubai"
"1,900,000 AED","16,849 sqft",Apartment,2,2,"Ansam, Yas Island, Abu Dhabi"
"9,500,000 AED","9,392 sqft",Villa,4,5,"District One Villas, District One, Mohammed Bin Rashid City, Dubai"
Ask for price,"2,975 sqft",Townhouse,4,4,"Noor Townhouses, Town Square, Dubai"
Ask for price,"5,221 sqft",Villa,5,5,"Millennium Estates, Meydan Gated Community, Meydan, Dubai"
"650,000 AED",810 sqft,Apartment,1,2,"Icon Tower 2, Lake Almas West, Jumeirah Lake Towers, Dubai"
